File,Creation,Last Modified,Domain
README.md,  2022-12-07 20:28:11 -0600,  2022-12-07 20:28:11 -0600,
icon0.ico,  2022-12-07 20:47:21 -0600,  2022-12-22 02:23:57 -0600,www.3cx[.]com
icon1.ico,  2022-12-07 20:27:50 -0600,  2022-12-22 02:23:57 -0600,msstorageazure[.]com
icon10.ico,  2023-01-07 18:15:28 -0600,  2023-03-16 03:02:28 +0000,akamaitechcloudservices[.]com
icon11.ico,  2023-01-07 18:15:28 -0600,  2023-01-07 18:15:28 -0600,akamaitechcloudservices[.]com
icon12.ico,  2023-01-07 18:15:28 -0600,  2023-01-07 18:15:28 -0600,azureonlinestorage[.]com
icon13.ico,  2023-01-07 18:15:28 -0600,  2023-01-07 18:15:28 -0600,msedgepackageinfo[.]com
icon14.ico,  2023-01-07 18:15:28 -0600,  2023-01-07 18:15:28 -0600,glcloudservice[.]com
icon15.ico,  2023-01-07 18:15:28 -0600,  2023-01-07 18:15:28 -0600,pbxsources[.]com
icon2.ico,  2022-12-07 20:27:50 -0600,  2022-12-22 02:23:57 -0600,officestoragebox[.]com
icon3.ico,  2022-12-22 02:23:57 -0600,  2022-12-22 02:23:57 -0600,visualstudiofactory[.]com
icon4.ico,  2022-12-22 02:23:57 -0600,  2022-12-22 02:23:57 -0600,azuredeploystore[.]com
icon5.ico,  2022-12-22 02:23:57 -0600,  2022-12-22 02:23:57 -0600,msstorageboxes[.]com
icon6.ico,  2022-12-22 02:23:57 -0600,  2022-12-22 02:23:57 -0600,officeaddons[.]com
icon7.ico,  2022-12-22 02:23:57 -0600,  2022-12-22 02:23:57 -0600,officeaddons[.]com
icon8.ico,  2022-12-22 02:23:57 -0600,  2022-12-22 02:23:57 -0600,zacharryblogs[.]com
icon9.ico,  2023-01-07 18:15:28 -0600,  2023-01-07 18:15:28 -0600,pbxcloudeservices[.]com
web.pack,  2022-12-16 02:28:47 -0600,  2022-12-16 02:28:47 -0600,
